message=cataloging configuration,power_limit=10,max_threads=228,
message=Enough threads to go around,
message=Enough power to go around,
start_task=,name=start,tick=1,start_time=3278293.592021,nthreads=1,
message=Lowering power,name=mydaxpy,old_threads=51,new_threads=48,delta_t=-0.874490,delta_p=-0.965000,
message=Lowering power,name=mydaxpy,old_threads=54,new_threads=53,delta_t=0.617400,delta_p=-1.522000,
message=Lowering power,name=mydaxpy,old_threads=53,new_threads=51,delta_t=-0.295260,delta_p=-0.978000,
message=Lowering power,name=mydaxpy,old_threads=51,new_threads=48,delta_t=-0.874490,delta_p=-0.965000,
message=Lowering power,name=mydaxpy,old_threads=54,new_threads=53,delta_t=0.617400,delta_p=-1.522000,
message=Lowering power,name=mydaxpy,old_threads=53,new_threads=51,delta_t=-0.295260,delta_p=-0.978000,
message=Lowering power,name=mydaxpy,old_threads=51,new_threads=48,delta_t=-0.874490,delta_p=-0.965000,
message=Lowering power,name=mydaxpy,old_threads=54,new_threads=53,delta_t=0.617400,delta_p=-1.522000,
message=Lowering power,name=mydaxpy,old_threads=53,new_threads=51,delta_t=-0.295260,delta_p=-0.978000,
message=Lowering power,name=mydaxpy,old_threads=51,new_threads=48,delta_t=-0.874490,delta_p=-0.965000,
message=Lowering power,name=mydaxpy,old_threads=48,new_threads=46,delta_t=1.228610,delta_p=-3.275000,
message=Lowering power,name=mydaxpy,old_threads=46,new_threads=45,delta_t=0.403060,delta_p=-0.383000,
message=Lowering power,name=mydaxpy,old_threads=45,new_threads=43,delta_t=0.541020,delta_p=-0.083000,
message=Lowering power,name=mydaxpy,old_threads=43,new_threads=42,delta_t=0.053810,delta_p=-3.812000,
message=Lowering power,name=mydaxpy,old_threads=42,new_threads=41,delta_t=0.912390,delta_p=-0.268000,
message=Lowering power,name=mydaxpy,old_threads=41,new_threads=38,delta_t=-0.401460,delta_p=-0.936000,
message=Lowering power,name=mydaxpy,old_threads=38,new_threads=35,delta_t=0.696200,delta_p=-0.167000,
message=Lowering power,name=mydaxpy,old_threads=35,new_threads=34,delta_t=1.090980,delta_p=-1.049000,
message=Lowering power,name=mydaxpy,old_threads=34,new_threads=32,delta_t=0.159520,delta_p=-1.008000,
message=Lowering power,name=mydaxpy,old_threads=48,new_threads=46,delta_t=1.228610,delta_p=-3.275000,
message=Lowering power,name=mydaxpy,old_threads=46,new_threads=45,delta_t=0.403060,delta_p=-0.383000,
message=Lowering power,name=mydaxpy,old_threads=45,new_threads=43,delta_t=0.541020,delta_p=-0.083000,
message=Lowering power,name=mydaxpy,old_threads=43,new_threads=42,delta_t=0.053810,delta_p=-3.812000,
message=Lowering power,name=mydaxpy,old_threads=42,new_threads=41,delta_t=0.912390,delta_p=-0.268000,
message=Lowering power,name=mydaxpy,old_threads=41,new_threads=38,delta_t=-0.401460,delta_p=-0.936000,
message=Lowering power,name=mydaxpy,old_threads=38,new_threads=35,delta_t=0.696200,delta_p=-0.167000,
message=Lowering power,name=mydaxpy,old_threads=35,new_threads=34,delta_t=1.090980,delta_p=-1.049000,
message=Lowering power,name=mydaxpy,old_threads=34,new_threads=32,delta_t=0.159520,delta_p=-1.008000,
message=Lowering power,name=mydaxpy,old_threads=48,new_threads=46,delta_t=1.228610,delta_p=-3.275000,
message=Lowering power,name=mydaxpy,old_threads=46,new_threads=45,delta_t=0.403060,delta_p=-0.383000,
message=Lowering power,name=mydaxpy,old_threads=45,new_threads=43,delta_t=0.541020,delta_p=-0.083000,
message=Lowering power,name=mydaxpy,old_threads=43,new_threads=42,delta_t=0.053810,delta_p=-3.812000,
message=Lowering power,name=mydaxpy,old_threads=42,new_threads=41,delta_t=0.912390,delta_p=-0.268000,
message=Lowering power,name=mydaxpy,old_threads=41,new_threads=38,delta_t=-0.401460,delta_p=-0.936000,
message=Lowering power,name=mydaxpy,old_threads=38,new_threads=35,delta_t=0.696200,delta_p=-0.167000,
message=Lowering power,name=mydaxpy,old_threads=35,new_threads=34,delta_t=1.090980,delta_p=-1.049000,
message=Lowering power,name=mydaxpy,old_threads=34,new_threads=32,delta_t=0.159520,delta_p=-1.008000,
message=Lowering power,name=mydaxpy,old_threads=48,new_threads=46,delta_t=1.228610,delta_p=-3.275000,
