nthreads,energy,time
156,302.35,2.14401
157,301.6,2.15128
158,296.7,2.10111
159,295.05,2.09322
160,301.9,2.13653
161,298,2.10546
162,297.6,2.08269
163,296.6,2.10784
164,306.6,2.21563
165,292.15,2.07867
166,289.85,2.03194
167,286.35,2.05255
168,287.8,2.05338
169,291.25,2.03485
170,290.15,2.02852
171,291.15,2.03954
172,281.95,2.06174
173,293.2,2.08604
174,290.65,2.02906
175,291.4,2.04631
176,290.7,2.06052
177,286.65,2.0563
178,295.15,2.08388
179,288.95,2.05962
180,294,2.08747
181,294.75,2.08578
182,290.5,2.05706
183,289.6,2.05752
184,290.75,2.09073
185,283.65,2.05718
186,296.85,2.0772
187,288.15,2.06111
188,291.9,2.08799
189,288.05,2.04103
190,290.4,2.06484
191,284.75,2.05801
192,291.35,2.08876
193,274.85,1.95917
194,279.55,2.00414
195,281.5,1.99117
196,273.35,1.96124
197,274.75,1.99616
198,267.8,1.94253
199,268.2,1.94869
200,259.1,1.90188
201,251.5,1.86195
202,268.85,1.93857
203,272.8,1.94218
204,271.8,1.95871
205,274.3,1.94751
206,281.65,2.01348
207,270.75,1.95803
208,280.7,1.98078
209,274.15,1.96313
210,272.8,1.94548
211,274.75,1.95575
212,272.7,1.9459
213,271.3,1.93943
214,270.9,1.96079
215,279.6,2.00313
216,266.4,1.91636
217,271.05,1.95551
218,266.8,1.94685
219,275,1.93919
220,272.45,1.9512
221,265.5,1.89867
222,272.55,1.94549
223,265.55,1.91234
224,266.7,1.89196
225,270.6,1.95457
226,266.35,1.88019
227,266.4,1.91183
228,271.45,1.95915
